# SAXS profile: number of points = 355, q_min = 0.0332286, q_max = 0.386938, delta_q = 0.000999179096045198
# offset = 0.00000000000000, scaling c = 3.82367662468004e-06, Chi = 3.88399746533328
#  q       exp_intensity   model_intensity
0.15813    1.74425000      1.69146779     
0.15912    1.72324000      1.66002462     
0.16012    1.71231000      1.62918843     
0.16112    1.70763000      1.59893680     
0.16212    1.66952000      1.56930251     
0.16312    1.63332000      1.54026034     
0.16412    1.59599000      1.51179859     
0.16512    1.55238000      1.48390774     
0.16612    1.52049000      1.45655744     
0.16712    1.48944000      1.42978761     
0.16812    1.46427000      1.40356498     
0.16912    1.44235000      1.37789381     
0.17012    1.40145000      1.35275176     
0.17111    1.37365000      1.32813713     
0.17211    1.35365000      1.30401660     
0.17311    1.36247000      1.28043313     
0.17411    1.31991000      1.25735449     
0.17511    1.31919000      1.23477023     
0.17611    1.28111000      1.21267005     
0.17711    1.22074000      1.19105655     
0.17811    1.19424000      1.16989137     
0.17911    1.20225000      1.14921627     
0.18011    1.17438000      1.12900026     
0.18111    1.14200000      1.10923881     
0.18211    1.14707000      1.08991083     
0.18311    1.14404000      1.07100479     
0.18410    1.12689000      1.05254341     
0.18510    1.09941000      1.03450867     
0.18610    1.07830000      1.01688252     
0.18710    1.07228000      0.99966114     
0.18810    0.99700700      0.98283738     
0.18910    0.98368900      0.96639453     
0.19010    1.01896000      0.95033889     
0.19110    1.00142000      0.93467436     
0.19210    0.95476000      0.91936656     
0.19310    0.92254000      0.90442821     
0.19410    0.93702000      0.88982303     
0.19510    0.93289700      0.87558224     
0.19609    0.91833000      0.86167817     
0.19709    0.87686200      0.84810595     
0.19809    0.89706900      0.83485822     
0.19909    0.86782500      0.82193031     
0.20009    0.84846800      0.80929401     
0.20109    0.84604100      0.79697773     
0.20209    0.85524500      0.78495395     
0.20309    0.84006900      0.77322070     
0.20409    0.79397000      0.76176787     
0.20509    0.77272400      0.75057771     
0.20609    0.76030700      0.73966363     
0.20709    0.75701000      0.72901238     
0.20808    0.75774900      0.71861038     
0.20908    0.74199500      0.70846560     
0.21008    0.69635600      0.69854884     
0.21108    0.66784900      0.68885924     
0.21208    0.64358600      0.67940402     
0.21308    0.63909200      0.67016673     
0.21408    0.63165000      0.66114633     
0.21508    0.63063600      0.65233285     
0.21608    0.63993400      0.64371497     
0.21708    0.64805500      0.63528650     
0.21808    0.62638000      0.62705114     
0.21908    0.60810500      0.61899380     
0.22007    0.57263200      0.61111318     
0.22107    0.55710200      0.60340730     
0.22207    0.57520200      0.59585470     
0.22307    0.60550600      0.58846491     
0.22407    0.59196400      0.58122460     
0.22507    0.57478300      0.57413877     
0.22607    0.56680400      0.56718522     
0.22707    0.53454800      0.56037396     
0.22807    0.52770900      0.55368334     
0.22907    0.54168600      0.54712242     
0.23007    0.53365200      0.54068465     
0.23107    0.53478400      0.53436440     
0.23206    0.50567800      0.52814786     
0.23306    0.46433100      0.52203622     
0.23406    0.48001600      0.51603231     
0.23506    0.45012000      0.51011807     
0.23606    0.45692700      0.50430402     
0.23706    0.43909000      0.49857574     
0.23806    0.45422700      0.49293227     
0.23906    0.47267200      0.48736311     
0.24006    0.44994800      0.48187523     
0.24106    0.43491200      0.47646690     
0.24206    0.41687900      0.47112580     
0.24306    0.42447600      0.46585160     
0.24406    0.40610400      0.46063449     
0.24505    0.40734600      0.45548262     
0.24605    0.39978300      0.45038978     
0.24705    0.38551600      0.44535301     
0.24805    0.38957200      0.44036724     
0.24905    0.36279100      0.43542914     
0.25005    0.35873400      0.43053611     
0.25105    0.35652700      0.42568903     
0.25205    0.36188700      0.42089286     
0.25305    0.33369300      0.41613223     
0.25405    0.31628200      0.41141315     
0.25505    0.32989700      0.40672827     
0.25605    0.30916200      0.40207760     
0.25705    0.29928800      0.39746329     
0.25804    0.31095300      0.39288543     
0.25904    0.31994500      0.38833738     
0.26004    0.32788800      0.38382083     
0.26104    0.31588700      0.37932660     
0.26204    0.30231200      0.37486878     
0.26304    0.31049600      0.37043439     
0.26404    0.27788000      0.36603019     
0.26504    0.28614300      0.36165288     
0.26604    0.31235400      0.35729881     
0.26704    0.31516800      0.35296915     
0.26804    0.32826200      0.34866877     
0.26904    0.30308200      0.34439025     
0.27003    0.29159400      0.34013972     
0.27103    0.28258300      0.33591095     
0.27203    0.28250000      0.33170835     
0.27303    0.27804800      0.32752885     
0.27403    0.25265400      0.32337043     
0.27503    0.21830100      0.31924468     
0.27603    0.20273800      0.31513699     
0.27703    0.21048000      0.31105952     
0.27803    0.21119700      0.30700094     
0.27903    0.23011900      0.30297401     
0.28003    0.21801600      0.29897216     
0.28103    0.23070600      0.29499843     
0.28202    0.23146000      0.29105208     
0.28302    0.21205000      0.28712947     
0.28402    0.21228200      0.28323770     
0.28502    0.21446600      0.27937782     
0.28602    0.23085200      0.27554468     
