solution index | solution filename | fit rotation | fit translation  | match size | match average distance |  envelope penetration score | fitting score|dock rotation | dock translation | RMSD to reference
9369||0.180057 -0.371572 -0.334565 -0.847101|302.596 283.9 37.8987|0|-1|-1|0.0472905|1 0 0 0|0.628319 1.0472 2.0944|-1
9370||0.433013 0.75 0.433013 -0.25|80.6823 207.965 312.572|0|-1|-1|0.047289|1 0 0 0|3.14159 2.0944 4.18879|-1
9371||0.353553 -0.612372 0.612372 0.353553|239.332 273.338 301.791|0|-1|-1|0.0472879|1 0 0 0|0 2.0944 4.71239|-1
9372||0.0453243 0.27232 0.419335 0.864839|333.156 202.493 153.278|0|-1|-1|0.0472848|1 0 0 0|0.628319 1.0472 2.61799|-1
9373||0.12941 -0.482963 0.836516 0.224144|354.318 204.764 199.936|0|-1|-1|0.0472809|1 0 0 0|0 2.61799 4.18879|-1
9374||0.5 -0.183013 0.683013 0.5|358.914 190.14 214.471|0|-1|-1|0.04728|1 0 0 0|0.523599 1.5708 4.18879|-1
9375||0.154508 0.267617 0.823639 0.475528|385.138 96.1802 139.375|0|-1|-1|0.047279|1 0 0 0|0.628319 2.0944 3.14159|-1
9376||0.12941 0.965926 1.05367e-08 0.224144|187.543 287.231 112.049|0|-1|-1|0.0472776|1 0 0 0|2.0944 2.61799 2.0944|-1
9377||0.25 0.25 0.0669873 -0.933013|188.242 339.175 313.338|0|-1|-1|0.0472737|1 0 0 0|4.18879 0.523599 4.71239|-1
9378||0.683013 0.183013 0.683013 0.183013|289.692 15.6823 254.471|0|-1|-1|0.0472726|1 0 0 0|1.5708 1.5708 4.18879|-1
9379||0.707107 0.353553 0.612372 9.12506e-09|230.14 116.086 259.471|0|-1|-1|0.0472724|1 0 0 0|2.0944 1.5708 4.18879|-1
9380||0.31466 0.808504 -0.310356 -0.388573|175.774 329.162 128.973|0|-1|-1|0.0472724|1 0 0 0|4.39823 2.0944 3.66519|-1
9381||0.683013 -0.683013 0.183013 -0.183013|48.2092 333.338 314.332|0|-1|-1|0.0472653|1 0 0 0|0.523599 1.5708 0|-1
9382||0.183013 0.933013 -0.25 -0.183013|121.754 261.365 190.331|0|-1|-1|0.0472604|1 0 0 0|4.18879 2.61799 3.66519|-1
9383||0.0522642 0.791154 -0.352244 -0.497261|184.459 289.229 262.572|0|-1|-1|0.0472587|1 0 0 0|5.02655 2.0944 4.18879|-1
9384||0.499315 0.72631 -0.471671 -0.026168|200.202 207.24 71.0861|0|-1|-1|0.0472586|1 0 0 0|3.76991 2.0944 2.61799|-1
9385||0.353553 -0.707107 2.63418e-09 -0.612372|185.14 368.914 125.529|0|-1|-1|0.0472573|1 0 0 0|1.0472 1.5708 1.0472|-1
9386||7.45058e-09 0.224144 0.12941 -0.965926|312.457 347.231 312.951|0|-1|-1|0.0472554|1 0 0 0|2.0944 0.523599 1.0472|-1
9387||0.203368 0.861281 0.0905243 0.456773|152.087 245.384 95.7065|0|-1|-1|0.047254|1 0 0 0|1.88496 2.0944 2.0944|-1
9388||0.855363 0.0782172 -0.493844 0.135476|194.241 123.637 188.209|0|-1|-1|0.0472538|1 0 0 0|4.39823 1.0472 1.5708|-1
